実質暦年,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Calendar Year",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
Calendar Year,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
2008/1-12.,"520,233.1","287,401.6","281,947.4","235,935.4","21,929.0","84,384.9","3,167.9","93,608.6","25,931.2",17.9,"3,717.7","86,176.7","82,459.1",74.4 ,,"-2,100.2","518,132.9","13,991.1","19,615.3","5,624.2","532,124.1",,"516,708.2","397,095.4","119,504.8",,"132,303.5",,"516,636.5",,,
2009/1-12.,"490,615.0","284,771.6","279,146.1","232,492.8","18,034.7","73,439.0","-4,847.2","95,452.3","27,640.7",-10.1,"-3,602.0","66,026.2","69,628.2",-263.9 ,,"6,044.9","496,659.8","12,506.7","16,427.4","3,920.8","509,166.5",,"494,451.7","371,477.5","122,983.8",,"119,041.8",,"495,373.3",,,
2010/1-12.,"510,720.0","291,408.1","285,521.0","238,321.4","17,794.8","72,718.2",49.1,"97,239.1","27,037.3",-27.0,"4,954.7","82,440.8","77,486.1",-454.3 ,,"2,553.6","513,273.6","13,699.1","17,911.2","4,212.1","526,972.7",,"506,184.6","381,990.4","124,192.7",,"117,490.1",,"510,738.0",,,
2011/1-12.,"510,841.6","289,879.7","283,422.3","235,764.3","19,017.5","75,604.9",987.3,"99,402.3","25,483.3",-4.1,417.7,"82,342.2","81,924.5",53.0 ,,"-3,920.9","506,920.7","14,781.8","18,947.4","4,165.6","521,702.6",,"510,387.8","385,474.4","124,912.8",,"120,098.3",,"509,897.3",,,
2012/1-12.,"517,864.4","295,760.1","288,872.5","240,605.0","19,457.2","77,971.0","1,198.9","101,075.4","25,998.7",32.4,"-3,929.7","82,462.2","86,392.0",300.5 ,,"-5,179.6","512,684.7","14,194.7","18,702.0","4,507.2","526,879.4",,"521,514.0","394,373.6","127,142.7",,"123,427.6",,"516,658.2",,,
2013/1-12.,"528,248.1","303,468.0","296,451.7","247,513.3","21,046.5","80,039.7",-646.3,"102,568.7","27,455.0",-27.2,"-5,999.2","83,130.6","89,129.8",342.8 ,,"-6,200.3","522,047.8","17,957.5","24,044.4","6,086.9","540,005.3",,"533,813.1","403,834.1","129,982.2",,"128,503.5",,"529,002.6",,,
2014/1-12.,"529,812.8","300,716.8","294,139.2","244,871.0","20,396.3","83,139.4",-324.8,"103,555.5","27,831.1",71.1,"-5,475.1","90,896.5","96,371.5",-97.5 ,,"-7,521.9","522,290.9","19,432.6","27,252.2","7,819.6","541,723.4",,"535,376.8","403,894.5","131,480.7",,"131,358.3",,"530,089.1",,,
2015/1-12.,"538,081.2","300,064.9","293,207.4","243,841.6","20,306.1","87,319.1","1,132.0","105,549.8","26,729.4",-39.9,"-2,980.1","93,815.4","96,795.5",0.0 ,,3.4,"538,084.7","21,205.6","30,061.9","8,856.3","559,290.2",,"541,061.3","408,822.0","132,239.3",,"134,354.5",,"536,989.1",,,
2016/1-12.,"542,137.4","298,784.6","291,451.5","241,994.3","21,092.4","87,437.2",706.3,"107,253.5","27,382.8",-195.2,-324.2,"95,333.6","95,657.8",0.0 ,,"5,243.9","547,381.3","19,087.3","28,871.8","9,784.5","566,468.6",,"542,461.6","408,020.5","134,441.1",,"135,912.4",,"541,626.3",,,
2017/1-12.,"551,220.0","301,929.0","294,444.5","244,891.7","21,194.4","89,500.5","1,241.0","107,345.3","27,407.7",-2.5,"2,822.8","101,643.8","98,821.0",-218.1 ,,"1,604.6","552,824.6","20,519.0","31,163.4","10,644.5","573,343.6",,"548,569.5","413,840.6","134,730.8",,"138,101.0",,"550,026.4",,,
